rank,score,confidence,seniority,company_name,company_url,company_source,title,job_url,type_of_work,hours_per_week,date_updated,salary,estimated_monthly_usd,skill_requirement,why,summary
105,59,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Senior Operations & Systems Manager,https://www.onlinejobs.ph/jobseekers/job/Senior-Operations-Systems-Manager-1677706,Full Time,40,"Jun 27, 2026","$1,200 to +2,000",2000.0,Workflow Sop Writing AI Automation,"AI/build signals: chatgpt, ai tools, ai automation | Build surface: repo, api, automation, automations, workflow, workflows, gohighlevel, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, sop, learn | Scarcity/seniority signal: senior, lead, manager, architect","# Operations & Systems Manager (Remote) ## Company Introduction Buckeye Illumination is a fast-growing outdoor lighting company based in Ohio, specializing in premium Christmas lighting, permanent architectural lighting, and exterior lighting solutions for..."
106,59,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Caliberworkforce,https://caliberworkforce.com,inferred_from_domain,Senior Systems Builder (Home Services),https://www.onlinejobs.ph/jobseekers/job/Senior-Systems-Builder-Home-Services-1679671,Full Time,40,"Jun 30, 2026",TBD,,,"AI/build signals: claude, chatgpt, mcp | Build surface: internal tool, internal tools, repo, api, apis, automation, automations, workflow | Code/build substrate: internal tool, internal tools, repo, api, apis, mcp | Trainable language: assistant, va, virtual assistant, sop, templates | Scarcity/seniority signal: senior, lead, architect, 5+ years","Caliber Workforce | Senior Systems Builder (Home Services) APPLY HERE: www.caliberworkforce.com/aicareers Caliber Workforce is a premium, AI-fluent staffing platform for founder-operators at growth-stage businesses. We don't place generic virtual assistants..."
107,59,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Senior WordPress Developer (AI Integration Focus),https://www.onlinejobs.ph/jobseekers/job/Senior-WordPress-Developer-AI-Integration-Focus-1667864,Full Time,40,"Jul 1, 2026",$500 / $1000,1000.0,Wordpress Elementor AI Automation,"AI/build signals: claude, chatgpt, ai tools, ai automation, prompt engineering | Build surface: website, websites, repo, html, css, automation, workflow, workflows | Code/build substrate: repo, html, css | Trainable language: va | Scarcity/seniority signal: senior, lead, architect, expert, advanced",Are you a forward-thinking WordPress Developer who loves taking ownership of projects and exploring new technologies? We are looking for someone to blend technical WordPress expertise with cutting-edge AI tools to build exceptional websites and revolutionize...
108,59,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Right at Home - Folsom Lake,https://caring.com,inferred_from_description,Virtual Operations Coordinator & Executive Assistant,https://www.onlinejobs.ph/jobseekers/job/Virtual-Operations-Coordinator-Executive-Assistant-1680115,Full Time,40,"Jul 1, 2026","$850–$1,050/month",1050.0,Sales Support Executive Assistance Medical Virtual Assistant,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, dashboard, dashboards, repo, database, automation, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, database | Trainable language: assistant, va, virtual assistant, sop, learn | Scarcity/seniority signal: senior, lead","This position requires working during U.S. Pacific business hours. Applicants must be comfortable working overnight Philippine time on a consistent schedule. Working Hours: Monday through Friday, approximately 8:00 AM to 5:00 PM Pacific Time. Some flexibility..."
109,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI Engineer - Hermes Agent,https://www.onlinejobs.ph/jobseekers/job/AI-Engineer-Hermes-Agent-1676335,Full Time,40,"Jun 26, 2026",N/A,,,"AI/build signals: agentic, prompt engineering, mcp, llm | Build surface: react, repo, python, api, apis, database, automation, workflow | Code/build substrate: react, repo, python, api, apis, database | Trainable language: va, learn | Scarcity/seniority signal: architect, expert, advanced","Key Responsibilities: Agent Architecture & Development: Design and implement autonomous agent systems using frameworks using Hermes Agent. Build multi-agent collaboration patterns (e.g., orchestrator-workers, debate, hierarchical swarms). Implement agentic..."
110,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Automation & Funnel Specialist — Healing With Haile,https://www.onlinejobs.ph/jobseekers/job/Automation-Funnel-Specialist-Healing-With-Haile-1675315,Any,TBD,"Jun 25, 2026",6.5,6.5,Zapier Funnel Design AI Automation,"AI/build signals: chatgpt, openai, ai tools, ai automation | Build surface: repo, api, apis, webhook, webhooks, automation, automations, workflow | Code/build substrate: repo, api, apis, webhook, webhooks | Trainable language: va, learn | Scarcity/seniority signal: lead","About the Role I run a growing wellness and coaching brand called Healing With Haile. I'm a solo founder and I need someone to build and run the automation backend that connects my content, my email list, and my offers so leads actually turn into paying..."
111,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Lead WordPress & AI Developer,https://www.onlinejobs.ph/jobseekers/job/Lead-WordPress-AI-Developer-1678682,Full Time,40,"Jun 29, 2026",6,6.0,Web Programming Wordpress GitHub,"AI/build signals: claude, openai | Build surface: website, websites, github, repo, html, css, javascript, api | Code/build substrate: github, repo, html, css, javascript, api | Trainable language: va | Scarcity/seniority signal: lead, 4+ years, mentor, security","We're a growing U.S.-based digital marketing and AI company looking for a skilled WordPress & AI Developer to join our team long-term. You'll build and maintain websites, develop custom features, integrate APIs, and help create AI-powered business..."
112,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",timlittletech llc,,inferred_from_listing_header,Solutions Support Specialist (monday.com & Make.com),https://www.onlinejobs.ph/jobseekers/job/Solutions-Support-Specialist-mondaycom-Makecom-1679804,Full Time,40,"Jun 30, 2026",$10/hr,1732.0,Monday Technical Support Make.com,"AI/build signals: claude, chatgpt, ai tools, llm | Build surface: dashboard, dashboards, repo, database, automation, automations, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, database | Trainable language: va, sop | Scarcity/seniority signal: lead, architect","Role Overview We manage systems, automations and business process for 24+ clients. We are seeking a Solutions Support Specialist who can act as the primary interface for client requests, provide training and support for our clients., and use AI tools to build..."
113,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",timlittletech llc,,inferred_from_listing_header,Solutions Support Specialist (monday.com & Make.com),https://www.onlinejobs.ph/jobseekers/job/Solutions-Support-Specialist-mondaycom-Makecom-1589222,Part Time,25,"Jun 30, 2026",6.51/hr,1127.53,Customer Support Technical Support Make.com,"AI/build signals: claude, chatgpt, ai tools, llm | Build surface: dashboard, dashboards, repo, database, automation, automations, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, database | Trainable language: va, sop | Scarcity/seniority signal: lead, architect","Role Overview We manage systems, automations and business process for 24+ clients. We are seeking a Solutions Support Specialist who can act as the primary interface for client requests, provide training and support for our clients., and use AI tools to build..."
114,58,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Schema,https://schema.org,inferred_from_domain,Web Developer | GEO & AI Search Technical Specialist,https://www.onlinejobs.ph/jobseekers/job/Web-Developer-GEO-AI-Search-Technical-Specialist-1676143,Any,10,"Jun 25, 2026",$11/hr,1905.2,SEO Wordpress HTML,"AI/build signals: claude, chatgpt, ai tools, perplexity | Build surface: website, websites, landing page, landing pages, dashboard, dashboards, repo, html | Code/build substrate: dashboard, dashboards, repo, html, css, javascript | Trainable language: va, templates | Scarcity/seniority signal: lead, manager, expert","We are an AI marketing firm based in Atlanta, Georgia. We specialize in Generative Engine Optimization, helping local businesses appear in AI-generated search results on ChatGPT, Google AI Overviews, Perplexity, and Microsoft Copilot. We are building a..."
115,58,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,AI-Assisted Ecommerce Writer,https://www.onlinejobs.ph/jobseekers/job/AI-Assisted-Ecommerce-Writer-1676329,Full Time,40,"Jun 25, 2026",$6–8 USD/hr,1385.6,Copywriting ChatGPT AI Tools,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools | Build surface: repo, workflow | Code/build substrate: repo, claude code | Trainable language: va, training provided, sop","About the role We're looking for a talented writer to join our e-commerce team. You'll be crafting high-converting advertorials and native ad copies — and working directly with Claude Code, an AI-powered command-line tool, to scale and optimize your output..."
116,58,High-confidence vibe coding,Junior or trainable,Company not exposed,,not_exposed,AI-Assisted Ecommerce Writer,https://www.onlinejobs.ph/jobseekers/job/AI-Assisted-Ecommerce-Writer-1678447,Full Time,40,"Jun 29, 2026",$6–8 USD/hr,1385.6,Copywriting ChatGPT AI Tools,"Explicit tools: claude code | AI/build signals: claude, chatgpt, ai tools | Build surface: repo, workflow | Code/build substrate: repo, claude code | Trainable language: va, training provided, sop","About the role We're looking for a talented writer to join our e-commerce team. You'll be crafting high-converting advertorials and native ad copies — and working directly with Claude Code, an AI-powered command-line tool, to scale and optimize your output..."
117,57,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,AI GENERALIST / AUTOMATION SPECIALIST,https://www.onlinejobs.ph/jobseekers/job/AI-GENERALIST-AUTOMATION-SPECIALIST-1679617,Full Time,TBD,"Jun 30, 2026",N/A,,,"AI/build signals: claude, chatgpt, ai automation | Build surface: dashboard, dashboards, internal tool, internal tools, repo, python, api, apis | Code/build substrate: dashboard, dashboards, internal tool, internal tools, repo, python | Trainable language: assistant, va, learn","Full-time, Mon to Fri. Core overlap required: 8:00 AM to 12:00 PM PST | $1,500 to $2,200/month | Long-Term WHAT THIS ROLE IS You are the AI right-hand to the CEO. You live inside our tools and turn messy, manual work into clean, AI-powered systems. You take a..."
118,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,E-Commerce Growth Analyst (Amazon Focus),https://www.onlinejobs.ph/jobseekers/job/E-Commerce-Growth-Analyst-Amazon-Focus-1678732,Full Time,40,"Jun 29, 2026",$800 - $1200 / month based on experience,1200.0,Amazon Ads Amazon Seller Central,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, python, api, apis, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, python, api, apis | Trainable language: va, sop, learn | Scarcity/seniority signal: 5+ years, scalability","At Ingreendients, we’re building one of the world’s most transparent hair care and body care brand. Every product we make is rooted in exceptional performance, transparency, ingredient integrity, and environmental responsibility. We’re looking for a highly..."
119,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Keys 2 Freedom,,exposed_company_or_brand,"Experienced Social Media Manager & Community Manager — Car Rental / Automotive Niche (Full-Time, Long-Term)",https://www.onlinejobs.ph/jobseekers/job/Experienced-Social-Media-Manager-Community-Manager-Car-Rental-Automotive-Niche-Full-Time-Long-Term-1667197,Full Time,40,"Jun 29, 2026",$480 - $640 Month,640.0,Content Creation Social Media Management Community Moderation,"AI/build signals: claude, chatgpt, ai tools | Build surface: repo, api, automation, workflow, workflows, gohighlevel, ghl, funnel | Code/build substrate: repo, api | Trainable language: va, templates, learn | Scarcity/seniority signal: lead, manager, advanced","ABOUT US: We run a fast-growing economy car rental business in Dallas, TX that rents vehicles to rideshare and gig economy workers (Uber, Lyft, Amazon Flex, medical couriers). We also run a coaching/education brand teaching others how to build the same..."
120,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",PROCTORAI,,inferred_from_description,GoHighLevel Implementation & Automation Specialist,https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-Implementation-Automation-Specialist-1674874,Part Time,15,"Jun 25, 2026",$8- $12,12.0,CRM Marketing Automation Project Management,"AI/build signals: claude, chatgpt, ai tools | Build surface: landing page, landing pages, repo, api, automation, automations, workflow, workflows | Code/build substrate: repo, api | Trainable language: va, sop, templates | Scarcity/seniority signal: lead",PROCTORAI SYSTEMS Position Title: GoHighLevel Implementation & Automation Specialist Location: Remote (Philippines) Employment Type: Part-Time Contractor (10–20 Hours Per Week) Compensation: $8–12 USD Per Hour (Based on Experience) ABOUT PROCTORAI ProctorAI...
121,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,GoHighLevel Implementation Specialist (Part-Time),https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-Implementation-Specialist-Part-Time-1680064,Part Time,20,"Jul 1, 2026",$600 USD/month,600.0,Marketing Automation GoHighLevel,"AI/build signals: claude, chatgpt, ai tools | Build surface: landing page, landing pages, front-end, repo, html, css, api, automation | Code/build substrate: front-end, repo, html, css, api | Trainable language: assistant, va, virtual assistant | Scarcity/seniority signal: manager","I'm looking for ONE part-time GoHighLevel Implementation Specialist to help us deliver CRM systems for comedians and live entertainment venues. We've already built the core CRM systems, snapshots and automations. You won't be building everything from scratch..."
122,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Growth and Marketing Technology Specialist,https://www.onlinejobs.ph/jobseekers/job/Growth-and-Marketing-Technology-Specialist-1679277,Full Time,40,"Jun 30, 2026",$1000-$1600/month,1600.0,Marketing Marketing Automation Social Media Content Creation,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, api, automation, automations, workflow, workflows | Code/build substrate: dashboard, dashboards, repo, api | Trainable language: va, fresh, learn | Scarcity/seniority signal: lead, mentor","""Opportunities don't happen. You create them."" – Chris Grosser ------ About Barnes Nest (US) Barnes Nest is a U.S.-based online marketplace for home services. Our mission is simple: make hiring a trusted local contractor easy, safe, and fair — for both sides..."
123,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Marketing & CRM Operations Support (Remote),https://www.onlinejobs.ph/jobseekers/job/Marketing-CRM-Operations-Support-Remote-1680457,Full Time,40,"Jul 1, 2026",$5/hour,866.0,Performance Marketing HubSpot CRM Admin Data Processing,"AI/build signals: claude, chatgpt, ai tools | Build surface: website, dashboard, dashboards, repo, workflow, workflows, ghl, wordpress | Code/build substrate: dashboard, dashboards, repo | Trainable language: va, sop, learn | Scarcity/seniority signal: lead","Are you organized, tech-savvy, and good at keeping information clean, accurate, and easy to find? We’re looking for a Marketing & CRM Operations Support Virtual Professional to help a growing service business with CRM updates, reporting support, data cleanup..."
124,57,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",RM Marketing,https://productive.io,exposed_company_or_brand,Senior Google Ads Specialist,https://www.onlinejobs.ph/jobseekers/job/Senior-Google-Ads-Specialist-1678513,Any,30,"Jun 29, 2026",20,20.0,Google Ads,"AI/build signals: claude, chatgpt, ai tools | Build surface: landing page, landing pages, internal tool, internal tools, repo, python, api, automation | Code/build substrate: internal tool, internal tools, repo, python, api | Trainable language: va, sop, learn | Scarcity/seniority signal: senior, lead, manager, 5+ years","We are a Danish marketing agency specializing in Google Ads for Danish and international clients. Our portfolio is roughly split between lead-generation and ecommerce, and we are building toward becoming the best lead-gen Google Ads agency in Denmark with..."
125,57,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Front End Developer,https://www.onlinejobs.ph/jobseekers/job/Front-End-Developer-1674723,Full Time,40,"Jun 30, 2026","Php 70,000 - Php 90,000",1551.72,,"Explicit tools: ai-assisted development | Build surface: web app, front-end, react, next.js, github, repo, html, css | Code/build substrate: web app, front-end, react, next.js, github, repo | Trainable language: va | Scarcity/seniority signal: architect, advanced","Responsibilities: -Build, optimize, and maintain front-end web applications using Next.js, Refine, and Shadcn UI -Develop and support cross-platform mobile features using Cordova (iOS and Android) -Translate UI/UX wireframes into responsive, clean, and..."
126,57,High-confidence vibe coding,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,React Native / Expo Developer (Remote) - Ship Mobile Apps with Roadmap + AI,https://www.onlinejobs.ph/jobseekers/job/React-Native-Expo-Developer-Remote-Ship-Mobile-Apps-with-Roadmap-AI-1675507,Any,TBD,"Jun 25, 2026","750-1,000 EUR per app (project-based, re",1000.0,Javascript Mobile Development React Native,"Explicit tools: claude code, cursor | AI/build signals: claude, ai tools | Build surface: react, repo, javascript | Code/build substrate: react, repo, javascript, cursor, claude code | Trainable language: va | Scarcity/seniority signal: architect","We're hiring autonomous React Native / Expo developers to ship mobile apps for an established mobile product agency (Keenov). This role is different from most. We don't need you to architect from a blank page - we hand you a clear, detailed roadmap and a..."
127,57,High-confidence vibe coding,"Senior ask, but trainable profile language",U247,https://u247.us,inferred_from_domain,Senior IT Engineer,https://www.onlinejobs.ph/jobseekers/job/Senior-IT-Engineer-1653076,Full Time,TBD,"Jun 25, 2026",N/A,,,"Explicit tools: cursor | AI/build signals: claude, ai tools | Build surface: repo, automation, automations | Code/build substrate: repo, cursor | Trainable language: junior, va, learn | Scarcity/seniority signal: senior, lead, 5+ years, mentor, security",Senior IT Engineer Prevent problems before they happen. Automate what shouldn’t be done twice. Do great work with great clients — and earn the autonomy to do it your way. To apply please fill out the application form here: u247.us/bepartofourteam. About the...
128,56,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI and Automation Engineer,https://www.onlinejobs.ph/jobseekers/job/AI-and-Automation-Engineer-1645555,Full Time,40,"Jun 30, 2026",N/A,,Powershell Azure AI Automation,"AI/build signals: claude, ai automation, mcp, llm | Build surface: github, repo, python, database, automation, workflow, workflows | Code/build substrate: github, repo, python, database, mcp | Trainable language: assistant, va | Scarcity/seniority signal: lead, mentor, security","**PLEASE CAREFULLY READ ALL THE DETAILS BEFORE APPLYING*** Job Title: AI & Automation Engineer Rate: TBD Work Type: Remote, Full-time Working Hours: Mon–Fri: 8am – 5pm CST Start Date: TBD JOB OVERVIEW: The AI & Automation Engineer is responsible for the..."
129,56,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Deal & Executive Operations Associate,https://www.onlinejobs.ph/jobseekers/job/Deal-Executive-Operations-Associate-1676562,Any,40,"Jun 25, 2026",TBD,,Administrative Management Investment Research Business development,"AI/build signals: claude, chatgpt, ai tools, perplexity | Build surface: website, websites, repo, api, automation, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, learn | Scarcity/seniority signal: senior, advanced","Deal & Executive Operations Associate (Remote) About the Role We are seeking a highly capable, resourceful, and intellectually curious Deal & Executive Operations Associate to serve as the right hand to an entrepreneur, investor, and acquisition executive..."
130,56,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",CEO,,exposed_company_or_brand,Executive Operations Manager / High-Level Executive Assistant,https://www.onlinejobs.ph/jobseekers/job/Executive-Operations-Manager-High-Level-Executive-Assistant-1678164,Full Time,40,"Jun 28, 2026",TBD,,Digital Marketing Executive Assistance AI Automation,"AI/build signals: chatgpt, ai tools, ai automation, llm | Build surface: repo, api, automation, workflow, workflows, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, sop | Scarcity/seniority signal: manager, architect","We are looking for a highly organized, systems-driven Executive Operations Manager to work directly with the CEO of a fast-growing digital marketing and AI solutions agency. This role is part executive assistant, part operations manager, and part systems..."
131,56,High-confidence vibe coding,"Senior ask, but trainable profile language",Higgsfield,https://higgsfield.ai,inferred_from_domain,Instagram Operations Lead (Remote),https://www.onlinejobs.ph/jobseekers/job/Instagram-Operations-Lead-Remote-1679136,Full Time,48,"Jun 30, 2026",$600+/month,600.0,Social Media Management Instagram marketing Social Media Engagement,"Explicit tools: cursor | AI/build signals: ai tools | Build surface: repo, automation, workflow, workflows, ghl | Code/build substrate: repo, cursor | Trainable language: va, learn | Scarcity/seniority signal: lead",We're looking for a highly organized and proactive Instagram Operations Lead to oversee our Instagram team and ensure smooth day-to-day operations. Responsibilities: Act as the primary point of contact between the CEO and the Instagram department (the CEO...
132,55,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Emfhr,https://emfhr.netlify.app,inferred_from_domain,Executive Assistant to the CFO,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-to-the-CFO-1667361,Full Time,40,"Jun 30, 2026",$800-1200,1200.0,,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, automation, workflow, workflows, ghl | Code/build substrate: dashboard, dashboards, repo | Trainable language: assistant, va, learn | Scarcity/seniority signal: senior, lead","To fast-track your application, please fill out the form below: emfhr.netlify.app/f/37c82e66-2517-81ba-95fb-d084504e89a5?source=OnlineJobps.ph&role=37c82e66-2517-81f7-9144-d477572475a7 About the Role We are seeking a highly capable Executive Assistant to..."
133,55,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Executive Assistant to the Chief Financial Officer,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-to-the-Chief-Financial-Officer-1670493,Full Time,40,"Jul 2, 2026",$800-1$200/month,800.0,,"AI/build signals: claude, chatgpt, ai tools | Build surface: dashboard, dashboards, repo, automation, workflow, workflows, ghl | Code/build substrate: dashboard, dashboards, repo | Trainable language: assistant, va, learn | Scarcity/seniority signal: senior, lead",Please apply on the link below: valiant-bovid-3df.notion.site/93382e662517820c95e78173ebbcd53d?pvs=105 About the Role We are seeking a highly capable Executive Assistant to support our Chief Financial Officer (CFO). This is not a traditional administrative...
134,55,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Funnelish Funnelbuilder,https://www.onlinejobs.ph/jobseekers/job/Funnelish-Funnelbuilder-1677620,Full Time,45,"Jun 27, 2026",5-7,7.0,Funnelish AI Tools Funnel Design,"AI/build signals: claude, chatgpt, ai tools | Build surface: repo, html, workflow, workflows, funnel, funnels, shopify | Code/build substrate: repo, html | Trainable language: va, templates, learn | Scarcity/seniority signal: security","We’re looking for a reliable Funnel Builder to join our ecommerce team full-time. Not just for a few weeks. Not just for random projects. We’re building a real long-term operation with people that want stability, growth, and a strong team around them. A lot..."
135,55,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,IT Platform & Automation Assistant (Info Platform),https://www.onlinejobs.ph/jobseekers/job/IT-Platform-Automation-Assistant-Info-Platform-1676541,Any,20,"Jun 25, 2026",1$ to 2$ Per Hour,346.4,Content Creation Wordpress AI Automation,"AI/build signals: chatgpt, ai automation, llm | Build surface: repo, api, apis, automation, workflow, workflows, wordpress | Code/build substrate: repo, api, apis | Trainable language: assistant, va, learn | Scarcity/seniority signal: architect, advanced","We are looking for an IT student to help manage our information platform at dbcev.info. This platform is heavily focused on leveraging modern tech stacks, AI integrations, and automated backend systems. What You Will Do 1. Platform Maintenance: Assist in..."
136,55,High-confidence vibe coding,"Senior ask, but trainable profile language",Buckner Media,,exposed_company_or_brand,Executive Assistant & Content Manager,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-Content-Manager-1669844,Full Time,30,"Jun 29, 2026",$5-8/hour,1385.6,Real Estate Marketing Podcast Content Creation Website Builder,"Explicit tools: lovable | Build surface: website, websites, repo, workflow, workflows, wordpress | Code/build substrate: repo, lovable | Trainable language: assistant, va | Scarcity/seniority signal: lead, manager","Applicants without prior real estate industry experience will not be considered. Position Overview As our Executive Assistant & Content Manager, you'll play a key role in keeping both client deliverables and internal operations running smoothly. This role..."
137,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,AI-Native Digital Growth Specialist,https://www.onlinejobs.ph/jobseekers/job/AI-Native-Digital-Growth-Specialist-1664631,Full Time,40,"Jun 30, 2026",$5 - $10 per hour,1732.0,Content Creation SEO AI Automation,"AI/build signals: chatgpt, ai tools, ai automation, perplexity | Build surface: website, landing page, landing pages, repo, html, css, automation, workflow | Code/build substrate: repo, html, css | Trainable language: va | Scarcity/seniority signal: lead, manager","Role purpose We are looking for an AI-native digital growth specialist to help us grow organic search visibility, AI visibility, Google advertising performance and online marketing ROI. We are a trade-only B2B ecommerce supplier in Australia. We currently..."
138,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Elite Digital Operations Engineer & Executive Technology Specialist (Remote),https://www.onlinejobs.ph/jobseekers/job/Elite-Digital-Operations-Engineer-Executive-Technology-Specialist-Remote-1679664,Full Time,40,"Jun 30, 2026",800,800.0,Performance Marketing Email Marketing Influencer Marketing,"AI/build signals: chatgpt, ai tools | Build surface: website, websites, landing page, front-end, repo, html, css, javascript | Code/build substrate: front-end, repo, html, css, javascript, python | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: advanced","Elite Digital Operations Engineer & Executive Technology Specialist (Remote) About Us We are building a fast-growing business that serves executives and companies by creating world-class digital systems, websites, automation, branding, marketing assets, and..."
139,54,Adjacent AI web/automation builder,Junior or trainable,Company not exposed,,not_exposed,Executive Assistant (experienced in GHL and Wordpress),https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-experienced-in-GHL-and-Wordpress-1680143,Any,TBD,"Jul 1, 2026",30000-50000php,862.07,Wordpress GoHighLevel Executive Assistance,"AI/build signals: chatgpt, ai tools | Build surface: website, repo, database, workflow, workflows, gohighlevel, ghl, wordpress | Code/build substrate: repo, database | Trainable language: assistant, va, sop, templates","As we grown our newly opened business, this Executive Assistant will provide administrative, client-experience, and digital-operations support to client and its expanding wellness-coaching business. The primary goal of this role is to reduce operational..."
140,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",THIS SEAT This,,inferred_from_description,Executive Assistant to the Founder,https://www.onlinejobs.ph/jobseekers/job/Executive-Assistant-to-the-Founder-1677555,Part Time,20,"Jun 27, 2026",$10 USD per hour,1732.0,Administrative Management Personal Assistant Executive Assistance,"AI/build signals: claude, chatgpt, ai tools, perplexity | Build surface: repo, api, automation, automations, ghl | Code/build substrate: repo, api | Trainable language: assistant, va, sop, learn | Scarcity/seniority signal: senior, lead, manager, architect","Good work should win the work. Rootl helps tradespeople and local service businesses get found, picked and booked online. We exist because good businesses lose to worse ones every day. Not because they are worse at the job, but because the worse ones got..."
141,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,Full-Time Web Designer & Developer – Remote (Philippines-Based),https://www.onlinejobs.ph/jobseekers/job/Full-Time-Web-Designer-Developer-Remote-Philippines-Based-1445716,Full Time,40,"Jun 28, 2026",1300,1300.0,Web Design & Page Layout Webflow AI Tools,"AI/build signals: chatgpt, ai tools | Build surface: website, websites, react, repo, html, css, javascript, api | Code/build substrate: react, repo, html, css, javascript, api | Trainable language: va, entry-level, sop, learn | Scarcity/seniority signal: lead","Employment Type Full-Time 40 hours/week Remote Must overlap with U.S. Central Standard Time (starting by 7:30 PM PHT / 6:30 AM CST) We’re looking for someone who wants to grow with us long-term. If you’re juggling multiple clients or short-term gigs, this may..."
142,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Apexagentpro,https://apexagentpro.com,inferred_from_domain,GO HIGH LEVEL PRO!!!,https://www.onlinejobs.ph/jobseekers/job/GO-HIGH-LEVEL-PRO-1664453,Full Time,40,"Jul 1, 2026",open,,Marketing Automation Gohighlevel Real Estate GoHighLevel,"AI/build signals: chatgpt, openai, ai tools, ai agent | Build surface: landing page, landing pages, repo, api, webhook, webhooks, automation, automations | Code/build substrate: repo, api, webhook, webhooks | Trainable language: va | Scarcity/seniority signal: lead, expert","# GoHighLevel (GHL) Automation & AI Specialist ### About Us Apex Agent Pro is seeking a highly skilled GoHighLevel (GHL) Automation & AI Specialist to join our growing team. This role is ideal for someone who thrives on building systems, automations, funnels..."
143,54,Adjacent AI web/automation builder,"Senior ask, but trainable profile language",Company not exposed,,not_exposed,GoHighLevel Specialist / Marketing Virtual Assistant for HVAC Company,https://www.onlinejobs.ph/jobseekers/job/GoHighLevel-Specialist-Marketing-Virtual-Assistant-for-HVAC-Company-1679506,Full Time,40,"Jul 2, 2026",800/ month,800.0,Social Media Management Lead Generation GoHighLevel,"AI/build signals: chatgpt, ai tools | Build surface: landing page, landing pages, repo, api, automation, automations, workflow, workflows | Code/build substrate: repo, api | Trainable language: assistant, va, virtual assistant, learn | Scarcity/seniority signal: lead, manager","We are a growing HVAC company based in New Jersey, USA, looking for a reliable, experienced virtual employee to manage our GoHighLevel CRM, marketing campaigns, funnels, social media, and online lead generation. This is not a basic VA position. We need..."
